Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
"@Jim_Jordan The majority of Americans do not want to be harassed by #DonaldTrump or anyone, especially if they have the power of government. @Twitter @Facebook doesn't belong to government or #Trump. #GOP needs to stop lying about censorship. @jack @SpeakerPelosi @RepKatiePorter https://t.co/YLGdJOzEFw",1/17/2021 5:55,en,,0,0,@Jim_Jordan,Toughone,STOP THE HATE. STOP THE VIOLENCE. IT'S TIME FOR PEACE. PEACE IS NOW. UNITED AMERICA,21115,4969,379,56,0,FALSE,,,@Toughone6
Every time I check someone’s likes it gotta be porn #TikTok #Trump #viral #Video #4K #Batman,1/17/2021 5:54,en,,0,0,,kevin,twitch: https://t.co/lbRYe9Y7nB live by fate not by sight,81,94,12,2,0,FALSE,,,@sniperkev777
"110 million people are pissed - Perfect Storm. These nice little people are gonna show them who we are.
Nasty Pelosi ""Who is this b*tch"".
""Why I am on Facebook"" https://t.co/tVkqOua6OK
#trump",1/17/2021 5:54,en,,0,0,,Viceroy Trump,Viceroy of The free world,734,22,30,170,0,FALSE,,,@TrumpViceroy
"#BREAKING
Trump 2020 election Press Sec #HoganGidley issues stmt saying #Trump hasn't picked his legal representation for the Senate #ImpeachmentTrial.

This comes after Rudy #Giuliani told ABC News that he's working as part of Trump's #impeachment-trial defense.

#CapitolRiot https://t.co/FFSz4wm3eo",1/17/2021 5:54,en,,0,0,@DevonHeinen,Devon Heinen,"Journalist, freelancing for @BuzzFeedNews | Prev: @NewStatesman, @TheAtlantic, @VICE & more | Comments are mine. DMs open. devon.heinen@gmail.com",51602,0,146,826,100,FALSE,,,@DevonHeinen
"Yes, he deserves what he’s getting but so do #Trump; #Pence; #Cruz; Giuliani &amp; every #GOP representative who voted to overturn the election.
#TrumpCrimeFamilyForPrison https://t.co/KvvevWoqrP",1/17/2021 5:54,en,,0,0,,Jack Kolinski,Retired; dedicated writer of drivel; #Atheist; #Humanist; Enemy of religious superstition; singer; napper; #Grandpa (2nd best job in the world after Dad!),63350,113909,2656,1694,126,FALSE,,,@DonQuixote1950
"I do not go inciting violence hate lies
I write poetry about life
I also comment on issues of #humanrights #animalrights Injustices of #Laws
you only have 2 think of #Trump who nominated Brett Kavanaugh Associate Justice of the Supreme Court
Got out of Sexual Assault Rape Charges",1/17/2021 5:54,en,,0,0,,Beez Laine,https://t.co/dJmSQoHJYg Registered Protected https://t.co/0zL6RBlx3b Poetry HumanRights A #Voice Against #Violence all forms re #Females #Graves #FM #ptsd,465051,294651,4143,8509,681,FALSE,,,@beezknez
"Suck it up princess you're going to jail.
https://t.co/ujjoG8oEWJ

#nopardons #MAGATerrorists #DonaldTrump #TrumpTreason #TrumpsTerrorists #Trump",1/17/2021 5:53,en,,0,0,,𝐓𝐨𝐫𝐢𝐞𝐬𝐀𝐫𝐞𝐊𝐢𝐥𝐥𝐢𝐧𝐠𝐁𝐫𝐢𝐭𝐚𝐢𝐧,The Tories are killing Britain. Lets put a STOP to it. LIKE us on facebook https://t.co/Ntbxhrdcdv Ⓥ,44846,61259,293,1866,33,FALSE,,,@killingbritain
"Watch and listen and maybe understand why I’m so pissed.🇺🇸 
#Trump #AmericaOrTrump #America https://t.co/so0sFhYmo9",1/17/2021 5:53,en,,0,0,,Glen Borst,"Husband, dad, comic book nerd, 501st Legion, Godzilla and 80’s Toys and cartoons. I honestly don’t see what my wife sees in me either. 😉",30064,60662,464,655,34,FALSE,,,@TrooperTK602
"It's so beautiful to wake up and #Trump isn't trending and staining our #democracy @Jack @Twitter #Twitter
Good decision! https://t.co/nHFZDFycf0",1/17/2021 5:53,en,,0,0,,Michael van Mind,#MvM #MichaelvanMind,17917,13736,438,133,42,FALSE,,,@MichaelvanMind
"i fought hard to get rid of #trump, donated liberally to #Biden, but now with his plan to legalize 11 million illegals is running a shudder down my spine, this will open the floodgates to a never ending deluge of border crossers, this will be a disaster &amp; may need 2 vote GOP",1/17/2021 5:52,en,,1,0,,The Anxious Middle,"he/him, Biden help Americans first, then grant illegals with zero criminal records, a work permit for 2 years, else we lose this nation.",818,907,152,46,0,FALSE,,,@risingstar2021
"next Wednesday
  ,
  The lame duckling stage ends
  ,
  The period of 100 days begins
  ,
  ,
  Fasten your belts
   And enjoy the ride :))))
  ,
  #America #Trump #Biden #John_Biden #U_S_A",1/17/2021 5:52,en,,0,1,,أحمد بن متروك العازمي,حاصل على درجة البكالوريوس في (( العلوم السياسية )) جامعة الكويت #بسمات_وطن #تعس_عبد_الاحزاب,87086,367,709,5842,10,FALSE,,,@A_Binmatrok
"All 50 US states on alert for armed protests

https://t.co/El7ZjjG6q3

#armedprotests #Columbia #JoeBiden #Trump #US #CapitolRiots",1/17/2021 5:52,en,,0,0,,Treta,"MIVDO & BANDHU❇️ Bharat Ke Apne Apps • On Google Play Store
ON THE DOT • Stories around the Globe.
#MakeinIndia to #Makefortheworld
@ Aditya: 9833026960",1169,111,155,410,0,FALSE,,,@MIVDO1
@NikkiHaley @standamericanow #Trump must be brought to account for all his criminal activities during (and before) his presidency; else the precedents he has set will embolden any future autocrat or—heaven forbid—theocrat—to the serious detriment of a free and just society … https://t.co/Pr39RDhvz6,1/17/2021 5:52,en,,0,0,@NikkiHaley,Philip Cohen,Vociferous Trump critic.,37076,14191,176,279,3,FALSE,,,@PhilipCohen5
"The Mall will be closed on @JoeBiden s #Inauguration? Too bad,  because the turnout would have been huge and #Trump would have been defeated again. 

#NationalMall #Biden #CapitolRiot https://t.co/bx6ZNlmkcX",1/17/2021 5:52,en,,0,0,,Michael van Mind,#MvM #MichaelvanMind,17917,13736,438,133,42,FALSE,,,@MichaelvanMind
"The amount of narcissism &amp; psychopathy throughout the entire #Trump family is absolutely astounding. I will never understand how anyone followed them in such a bizarre, cult like way. I often wonder  if our country will ever be able to recover from all that has happened. https://t.co/UEVWtsaAni",1/17/2021 5:52,en,,1,0,,Ahava Makuta אהבה 🌊✡️⚖️,Jewish. Liberal. Autistic. Mosaic (Down Syndrome). Future attorney. ⚖️ #BlueWave #BLM #BIDENHARRIS2020. #Resist No DM’s please. 🌊,1649,17978,9530,9495,6,FALSE,,,@ahava_makuta
damn dude. no wonder he’s getting ghosted rn #trump #rudy #ghosted #wow https://t.co/OIbGERcME1,1/17/2021 5:51,en,,1,0,,Ryan Hunter,"helping my boy don thru a bad breakup, 1 day at a time 💔",822,7409,1062,1464,49,FALSE,,,@Ryan_Hunter
"If you believe that this Jenna Ryan is an actual Trump supporter, or any that breached the Capitol, you are either naive or are completely brainwashed by liberal media.  Ryan and others are ANTIFA- attempting to sabotage the peace Trump called for. #Trump

https://t.co/ymrAOfjvnY",1/17/2021 5:51,en,,0,0,,Daemon Golgoth,,95,1,0,1,0,FALSE,,,@daemon9
"VANITY &amp; TRUMP. 
Where are they now? @nytimes 
#TrumpTreason #TrumpIsALaughingStock #TrumpMeltdown #insurrection #Trump  #SeditionCaucus 
#DonaldTrump 

 ""President Donald Trump Is Praised — By The Cabinet He Appointed | The New York Times"" on YouTube

https://t.co/EP8kXzqJHu",1/17/2021 5:51,en,,0,0,,Enola Grae,"I AM QUEEN OF SHEBA...(Really, my birth name)
Writer, Feminist, & Human rights activist ...   
On my spirtual Journey to enlightenment, happiness & peace...",2651,11334,283,99,0,FALSE,,,@EnolaGrae
"@JHoganGidley Funny how the man who said everything was either a hoax or fake news, now plans to pardon himself, his family and those that shilled for him. 

Screams innocence, right ? 
#TrumpImpeachment 
#TrumpIsACriminal 
#TrumpLies 
#Trump 
#AmericaOrTrump",1/17/2021 5:50,en,,0,0,@JHoganGidley,Brandy Batliwala,an opinion but not always judgement #womensrights #RESIST #lgbtq #politics #sports #travel #food #film. my hero #FieldMarshalSamManekshaw,10180,15575,805,257,1,FALSE,,,@chatter16979696
"How about when #Trump said in a speech in California, “Look at my African American over here!” #favoritetrumpmemories",1/17/2021 5:50,en,US,0,0,,Stephen Goldblatt,Half way through this marathon.,2341,1278,770,1516,99,FALSE,,,@Goldblartsky
"#TrumpTerrorist #MarcoRubio darling,

You can't pray the #Trump stink away.

Sincerely,

America https://t.co/BbY8aI5wva",1/17/2021 5:50,en,,1,0,,don - Contempt of Trump - auto - WEAR A MASK,"#BidenHarris2020
Viva la #Resistance 
#VoteBlueNoMatterWho 

More followers than #BunkerBitch #Trump!

Blocked by @ScottBaio",33245,114,1990,1735,0,FALSE,,,@Mr_Don_Auto
"@LRussellWolpe @phbarratt @CroakeyNews @MelissaSweetDr Yes, that they might do it with impunity in #Trump's America. #auspol",1/17/2021 5:50,en,,0,0,@LRussellWolpe,MORRIGAN,,2332,11384,0,28,1,FALSE,,,@BABDCATHA2
#Trump Knows https://t.co/Hakk9VoM9k,1/17/2021 5:50,en,,2,1,,Kevs Dumpster Fire,We Are the Authors of Our Stories Now #LightTwerker 🍑,27155,69247,842,2217,10,FALSE,,,@kevsdumpster
"This is still the most incredible picture of the Trump Administration. Seriously. That’s a sitting American president. Imagine Obama, Hillary, Bush, Biden, or literally any other elected official ever...oh wait @senatemajldr actually he could probably pull that off. Nvm. #Trump https://t.co/030RgUrgTb",1/17/2021 5:50,en,,0,0,,Alex,"Talents a myth. Every person on the planet has the ability to achieve their wildest dreams, but only 1% are willing to do the work it takes to get there.",8919,1317,239,135,1,FALSE,,,@DaLegendaryAlex
"When the inevitable war within the Republican party divides them and the potty-trained Republicans splinter off, can we just call who's left (former R's) the Nazi party? No sense in being daft about their white nationalist roots and hatred of democracy. 

#gop #nazi #trump https://t.co/aKPmKaMRHj",1/17/2021 5:50,en,,0,0,,Pleasant Peasant,,201,367,65,1,0,FALSE,,,@n0rth_remember5
#Trump was responsible for the #CapitolRiot  He needs to show #Accountability and face #Consequences Pentagon Confirms Military Will Not Hold Traditional Farewell Ceremony for Trump https://t.co/dQF0qkFcof via @mediaite,1/17/2021 5:49,en,,2,2,,Sandy L,"Mom of 7. Blessed with many grandkids. Married. The world is a beautiful place, even in 2020! #FightForTheGood  #Biden2020  #DitchMitch  #BLM  #BeKind",1808,1613,1134,527,1,FALSE,,,@LaporteSandy
"Kinda breathes new life into @SpeakerPelosi ripping up his State of the Union speech, eh?
#Trump getting all butthurt by it makes sense now. 

https://t.co/vzn9ixmcxY",1/17/2021 5:49,en,,0,0,,Chris King,Geek|Father|Husband|Human,1580,374,396,50,1,FALSE,,,@CrizzlePope
"@MyFateMyDestiny @DesignationSix @yogafan108 @KraftHeinzCo @BestBuy @Carvana @Disney @hulu @TivityHealth @tecovas @ForceFactor @DealDash @NordicTrack @ProcterGamble @Tampax @Always @CopperFit Dear @FoxNews #FoxEntertainment 
#OurChoices #Accountability

#ICHOSE not to believe #Trump lies
#ICHOSE not to share #FoxPropaganda 
#ICHOSE to ignore dangerous #TrumpRhetoric
#ICHOSE not to attend #TrumpRallies
#ICHOSE not to support #Trump202O
#ICHOSE to NOT break laws",1/17/2021 5:49,en,,0,0,@MyFateMyDestiny,🌊 Grandma's Here! 🌊,Widow of a USMC VETERAN🌊Bless Our Troops🌊Social Distancing & Masks WORK!🌊#BidenWon,24016,19087,3274,2040,35,FALSE,,,@Grandma_Storm
"@madhukishwar @PMOIndia Disagree with last line.

BUT, continuous ignorance &amp; underestimating Anti-Indian #Leftists cabal is a serious concern since 7 yrs of governance.

After all #Trump lost all his glory due to ignoring these #leftists only.

@narendramodi ji must not repeat this fault.",1/17/2021 5:49,en,,0,0,@madhukishwar,Proud Indian 🇮🇳,"Rashtrabhakt NOT Andhbhakt.Traveller+Foodie

Blocked by 🤘: @ArvindKejriwal @ashoswai @anubhavsinha @MANJULtoons @abbas_nighat @MrinalPande1 @artwhoring",8053,28581,2426,2792,3,FALSE,,,@16abha16
"Of course his alike in Florida will give him a warm welcome

#Trump will leave Washington in disgrace, destined for a warmer welcome in Florida, where some supporters are so gung-ho they recently wrote his name on the back of a fat, lumbering manatee  https://t.co/3VSN0GJ09B",1/17/2021 5:48,en,,0,0,,Randa HABIB,"Author, Formerly director AFP news agency Jordan and Amnesty International regional director for MENA. Committed to live fully every day until the ""expiry date""",83132,3675,766,36117,643,TRUE,,,@RandaHabib
@donwinslow @laurenboebert just fits in with #Trump and his ilk.. such low class,1/17/2021 5:48,en,,0,0,@donwinslow,Andreas J.A. S.,"*/ Views expressed are my own /* Passionate abou Data Viz & UX /* 

Proud Dad of 3, so don't B.S. me
*** Heart lies in Africa ***",25803,18001,488,704,239,FALSE,,,@Xeradox
"Exactly...BOTH 👈

Let #Trump suffer the way he tormented all of us for the past 4 years https://t.co/K0BPdPycy9",1/17/2021 5:48,en,,0,0,,and the livin's easy,I adopt adult Basset Hounds. Huge fan of all things Sci-fi. I keep Vampire hours. Depression & OCD sufferer.,271941,89407,4671,1766,91,FALSE,,,@madamyez
Yeah.  Perfect theme song for Trump's last day 🖕. #GTFO #Trump https://t.co/UMasXrLScG,1/17/2021 5:48,en,,0,0,,Antifa cheer squad captain,Trumpism is destroying our democracy. Gym Jordan is a screaming fuckwit. Follow me and I follow back. No DMs. Too many cray cray Trumpers. #resister #resist,9821,38020,952,746,2,FALSE,,,@MarieON93755057
#Trump has laid bare the darkness and deepest issues and hidden truths of humanity.,1/17/2021 5:48,en,,0,0,,💙 🇨🇦 Debbie 🇨🇦 💙,"Married to my best friend! #resist #BidenHarris NO DMs, for you assholes that means DO NOT SEND ME A MESSAGE TO SAY “Hi Debbie How Are You?”",14018,14263,4343,2254,2,FALSE,,,@dancindebbie
"brand intuitive #markets with #domains 
💰 #biden #trump Buy #domain https://t.co/tyKa3FfomD https://t.co/iIie2xxETi https://t.co/uetWwi6BIH",1/17/2021 5:48,en,,0,0,,Buy crazy domains,We do #WordPress and sell #domains,27721,220,1663,1243,346,FALSE,,,@buycrazydomains
Hit the road Jack don’t you come back no more! #trumpmemes #trump #goodbyetrump #seeyanever #funny #packyourbags #getout https://t.co/1fkETAFiei,1/17/2021 5:48,en,,0,0,,craymo,"Multiple award winning Indie LGBT singer/songwriter pop/rock music. Music Supervisor/DJ Dir of Publishing for Moho Productions, https://t.co/DPnofdq3JH",15678,3233,4650,4600,110,FALSE,,,@craymo
"#removing #Trump MORE Links to REMOVING TRUMP #impeachment #25thAmendment #DCRIOTS 
https://t.co/Axej7hg4WI",1/17/2021 5:48,en,,0,0,,"Tom Gillispie, EDITOR/WRITER","★ READING ★ WRITING ★ DOGS ★ FOOTBALL ★ MIAMI DOLPHINS  ★ BASEBALL ★ SINGING ★ STAR TREK ★ MYSTERY AND SCIFI BOOKS ★ WESTERNS. 
EMAIL: tgilli52@gmail.com",120303,189,3718,4244,422,FALSE,,,@EDITORatWORK
"""Death by Covid""?  Wasn't that the #Trump health care plan? https://t.co/I1gbPHQZtL",1/17/2021 5:47,en,,2,0,,"Ms. Pinecone (Diana ""of the pine"")","#BuildBackBetter #BlackLivesMatter How did we get here? The GOP makes me SICK.  Feed the hungry, wear a mask, and wake up.",24468,51567,1386,1001,1,FALSE,,,@PolishPiney
A Houston police officer resigned after his chief accused him of breaching the US Capitol https://t.co/AUqlRnH256 #breakingnews #news #trump #followback,1/17/2021 5:47,en,,0,0,,Big Time News Today,The Hottest news story's from around the world. Join us at https://t.co/6O5zVcGcej where we blog about today's trending and breaking news on the daily!,8768,4,536,728,1,FALSE,,,@bigtimenewsus
".⁦@IvankaTrump⁩ had hoped to become the first female president, apparently on the premise that the the presidency should be a family business. The mob of #Trump supporters storming the Capitol vaporized those dreams. https://t.co/NOUJ32Hn13",1/17/2021 5:47,en,,0,0,,𝕄𝕖𝕥𝕣𝕠 ℕ𝕐 𝕁𝕖𝕣𝕣𝕪,"Progressive, Objective. No Tolerance for Racism. I share Israel's 🇮🇱support for #HumanRights. I oppose 🖕🏽Trump®, BDS, KKK, NRA, Hamas.",129957,30477,5001,4600,208,FALSE,,,@JBucknoff
"#Seditionists of the House &amp; Senate who told the masses #TheBigLie #Gozar, #Cruz, #Hawley #Boebert and lesser-known #traitors, #MAGATerrorists this is how you've harmed America! #Trump is the only #POTUS to ever try to obstruct a #PeacefulTransferOfPower! https://t.co/PAgWJ1tHXh",1/17/2021 5:47,en,,4,0,,Celestial Sojourner,"#AntiFascist, retired RN 
#NowItsAWitchHunt #MagickResistance 
#GoLeftAmerica! #Resistance 
Typos & content are #MyBad! @FXMoore2 is my hero & my bey!",48408,75112,42584,43118,9,FALSE,,,@CSojourner
I miss those days when #Trump roasted #Biden for being the idiot he truly is.,1/17/2021 5:46,en,,0,0,,ع ُر و بة,"They hate the truth, I fight for it..",61218,13904,361,699,0,FALSE,,,@3urubah
#earthquake that was a baby earthquake. I wonder when the mother will show. The 2nd and 3rd always come much bigger. Watch out california maybe san andreas fault is about to perform the big one in time for @JoeBiden #InaugurationDay and keep #Trump in power in national emergency,1/17/2021 5:46,en,,1,0,,Lee McCluskey,"Just because sometimes I Retweet seemingly far right tweets doesn't make me far right & my tweets are just common sense. socialism never ever works
ME sufferer",12688,2699,1480,510,1,FALSE,,,@LeeMccluskey
@cris_n3wy Definitely the Invisible Book that was once read by the Invisible Man. That's the only book #Trump's ever read. Snap! 🐾,1/17/2021 5:46,en,,0,0,@cris_n3wy,Little Black Devil dog,"I'm an observer/intuitive. I 've  followed politics for some time. I write poetry, also articles. VP Property Mgt. No Lists! 🌊🌊🎶🐕🐎🐺🦅🇺🇸♈",5856,4275,2157,1014,0,FALSE,,,@leiter_robin
"@senatemajldr @GOP You KNEW who #Trump was when you nominated him.  What is god's name were you thinking?
I would suggest you not do it again.",1/17/2021 5:46,en,,0,0,@senatemajldr,MissRed,,2531,792,3,1,0,FALSE,,,@MissRed80614542
@Franklin_Graham repent of your love of #Trump  you can not serve two masters,1/17/2021 5:46,en,,0,0,@Franklin_Graham,middleamerica,,110,331,28,1,0,FALSE,,,@middlea75746336
@macantone @RexChapman that fact the my pillow guy is giving #Trump advice..is definitely not a good thing... https://t.co/st139fWJaN,1/17/2021 5:46,en,,0,0,@macantone,Independent02,"I am a registered independent born and raised in the US and still a citizen,but live https://t.co/iMA2TR0PE8 Edition is the best group ever",75567,21084,866,273,24,FALSE,,,@Independent02
@NPR #Trump always excelled as being low class,1/17/2021 5:46,en,,0,0,@NPR,Andreas J.A. S.,"*/ Views expressed are my own /* Passionate abou Data Viz & UX /* 

Proud Dad of 3, so don't B.S. me
*** Heart lies in Africa ***",25803,18001,488,704,239,FALSE,,,@Xeradox
"Uhh, you’re balding... #TrumpTreason #TrumpCoupAttempt #Trump #MAGATerrorists #MAGA @TX_WalkerRanger https://t.co/pGzuj1iQMM",1/17/2021 5:45,en,,1,0,,Christopher Kyle XK 🌈🦚✨,A Gay Steel Magnolia / A Bit Creative / Cat Guy / #HateCrime Survivor / An Attack Upon One Minority is an Attack Upon Us All / #MakeRipples / 🌙🦉,12620,18048,5522,5791,6,FALSE,,,@XopherKyle
"@renato_mariotti @DanteB4u It's all about #OurChoices #Accountability

#ICHOSE not to believe #Trump lies
#ICHOSE to ignore dangerous #TrumpRhetoric
#ICHOSE not to attend #TrumpRallies
#ICHOSE not to support #Trump2020 #Trump2024
#ICHOSE not to go to the #CapitolBuilding
#ICHOSE to NOT break laws",1/17/2021 5:45,en,,0,0,@renato_mariotti,🌊 Grandma's Here! 🌊,Widow of a USMC VETERAN🌊Bless Our Troops🌊Social Distancing & Masks WORK!🌊#BidenWon,24016,19087,3274,2040,35,FALSE,,,@Grandma_Storm
"BREAKING NEWS. #trump has left @JoeBiden and @KamalaHarris a welcome dinner. He will not be attending. Not knowing the protocol he ordered from #mcdonalds #kfc #subway and #burgerking. 
He did ask for any leftovers to be sent to him at the Mar-a-Lago.",1/17/2021 5:45,en,,0,0,,Kiwi Funknuckle,Small flightless bird that lays one mother of an egg. #blm,8483,5780,1176,320,2,FALSE,,,@KiwiFunknuckle
".       *#Image not mine.*

#Trump is nobody's #savior / personal #Jesús, #maga #kag. https://t.co/LGlSKH96cR",1/17/2021 5:45,en,,1,0,,Ahmjus Ay'n: So - I'm a Nancy!,"The variety of humanity fascinates. Rise above ignorance, goose the apathetic.
RememberDachauDems
Obama, my captain. #Resist!
Politics*Critters*Music*Art*Nature",125552,61106,4991,2360,128,FALSE,,,@CallMeAhmjusAyn
@JudithCollinsMP Still think #Trump is one of the better ones?,1/17/2021 5:44,en,,0,0,@JudithCollinsMP,Maureen Perkins,"Mum to young adults, Learning Designer, Mahara and Moodle user, love technology, science, curriculum design, dark comedy, food,music, good books, Scandi-noir TV",9219,7132,1093,455,24,FALSE,,,@Maureen473
"@Out5p0ken So the best Donald could drudge up is Rudy Giuliani, Matt Gatz, and Gym Jordan.
#Trump might as well say he's guilty and save himself even more embarrassment.",1/17/2021 5:44,en,,1,0,@Out5p0ken,bil . We are not #HumanCapitalStock just Humans,"Liberty and Justice for All, Independent free thinker, global citizen, We are all =, #BeBetter, Humanity First! #TheResistance #BidenHarris2020",43760,63214,1882,1201,2,FALSE,,,@bilingram
"These #TrumpInsurrection ""Warriors"" think this bulls**t makes them REAL MEN.
How utterly pathetic.
#Trump #Republicans @GOP
#RepublicanParty
 https://t.co/QuRuf1DEbA",1/17/2021 5:44,en,,0,0,,MissRed,,2531,792,3,1,0,FALSE,,,@MissRed80614542
It’s starting #Trump,1/17/2021 5:44,en,,0,0,,8009,It will all come out,31,23,39,3,0,FALSE,,,@marissa83680058
@RepDanKildee @TuckerCarlson #TuckerCarlson is making Fun of what happened!! HOLD HIM AND @FoxNews RESPONSIBLE FOR THEIR WORDS! #Trump never was!,1/17/2021 5:44,en,,0,0,@RepDanKildee,Ksugar,"Perpetual student,working on psych degree, PSI-CHI member, graphic artist, shar-Pei mom, independent voter, Believe in Human rights. #BLM#Resist 8645 🌊🌎❤️🇺🇸",56485,61965,1935,1846,4,FALSE,,,@Shnookie04
